category_id,word1,word2,word3,word4,word5,word6
2,Löwe,Delfin,Panda,Giraffe,Pinguin,Tiger
2,Adler,Elefant,Känguru,Frosch,Hai,Ameise
2,Oktopus,Gorilla,Flamingo,Nashorn,Schmetterling,Krokodil
2,Eule,Eichhörnchen,Schildkröte,Zebra,Krabbe,Bär
2,Seepferdchen,Walross,Fledermaus,Tukan,Kugelfisch,Erdmännchen
2,Biber,Elch,Aal,Maus,Hund,Katze
2,Hase,Huhn,Schwein,Schaf,Schnecke,Käfer
2,Libelle,Schlange,Kamel,Qualle,Igel,Nilpferd
2,Wal,Stachelschwein,Biene,Mücke,Marienkäfer,Spinne
2,Pfau,Wurm,Seestern,Maulwurf,Pferd,Skorpion
3,Geschenk,Weihnachtsbaum,Kerze,Stern,Glocke,Schneemann
3,Schlitten,Schneeflocke,Mütze,Socke,Kamin,Mistelzweig
3,Engel,Christbaumkugel,Adventskranz,Vanillekipferl,Schlittschuhe,Wunschzettel
3,Lichterkette,Geschenkpapier,Tasse,Schal,Handschuhe,Nussknacker
3,Krippe,Schokolade,Stiefel,Laterne,Tannenzapfen,Kirche
3,Sternschnuppe,Kerzenständer,Harfe,Blockflöte,Fliege,Weihnachtsgans
3,Eiszapfen,Lieder,Bratapfel,Rentier,Nikolaus,Lametta
3,Hirte,Drei Könige,Stall,Lebkuchen,Familie,Fondue
3,Stollen,Mandarine,Esel,Nüsse,Spekulatius,Spritzgebäck
3,Sack,Zapfen,Lichterbogen,Herz,Baumständer,Raclette
4,5 Towers,13 Wörter,Age of Steam,Applejack,Aqualin,Arche Nova
4,Arborea,Artischocken,Azul,Barcelona,Beer & Bread,Beyond the Sun
4,Bitoku,Bohnanza,Broad Lines,Brass,Burgen von Burgund,Caldera Park
4,Calico,Cascadia,Catan,Caverna,Champions,CO2
4,Codex Naturalis,Cutterland,Dixit,Dinosaur Island,Dive,Dominion
4,Dorfromantik,Draftosaurus,Erde,Eselsbrücke,Ein Fest für Odin,Flügelschlag
4,Fun Facts,Gaia Project,Geistesblitz,Gutenberg,Hadrianswall,Hallertau
4,Hanabi,Hashi,Illusion,Istanbul,It's a Balloon!?,Just One
4,Kneipenquiz,Lacrimosa,Letter Jam,Mandala Stones,Maracaibo,Master Word
4,Merchants Cove,Merw,MicroMacro,New York Zoo,Nidavellir,Nine Tiles Panic
4,Nusfjord,Ohanami,Ökosystem,Paleo,Pandemic,Parks
4,Pictures,Printing Press,Quacksalber,Rajas of the Ganges,Rote Kathedrale,Sattgrün
4,Silver & Gold,Skull King,Smart10,So Kleever!,Spirit Island,Stone Age
4,Terraforming Mars,Tekhenu,Teotihuacan,Tiletum,Top Ten,Tzolk'in
4,Ultimate Railroads,Underwater Cities,What the Rule?!,Zug um Zug,Würfelwelten,Tokyo Highway
5,Shampoo,Seife,Rasierer,Zahnbürste,Zahnpasta,Zahnseide
5,Toilettenpapier,Waschbecken,Wasserhahn,Dusche,Unterhose,Schuh
5,Deodorant,Hose,T-Shirt,Jacke,Smartphone,Schlüssel
5,Auto,Bett,Trinkglas,Computer,Tastatur,Gabel
